,situacao-habitacional,distrito,concelho,area-util,tipo-casa,tipologia,ano_nascimento_interval,nacionalidade_pt,rendimento-anual,num-pessoas-nao-dependentes,num-pessoas-dependentes,situacao-profissional,educacao,satisfacao,percentagem-renda-paga,valor-mensal-renda,ano-inicio-arrendamento,rendimento-arrendamento,estrategia-arrendamento,insatisfacao-motivos,valor-compra,ano-compra,estado-conservacao,estrategia-compra,rendimento-liquido-anual-individual-na-compra,rendimento-liquido-anual-conjunto-na-compra,ano-heranca-aquisicao,rendimento-liquido-anual-individual-na-aquisicao,rendimento-heranca-conjunto,estado-conservacao-heranca
93,['comprei'],lisboa,lisboa,61-80,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['pago-demasiado'],285000.0,2022.0,execelente,"['emprestimo', 'apoio-familiar', 'conjunto']",12001-20000,35001-50000,,,,
94,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],50,500.0,2022.0,35001-50000,"['apoio-familiar-inicio', 'apoio-familiar-actualmente']","['vivo-longe', 'falta-espaco', 'pago-demasiado']",,,,,,,,,,
95,['comprei'],braga,braga,81-100,['apartamento'],['T2'],"[1985, 1990)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],doutoramento,['insatisfeito'],,,,,,"['dificuldades-financeiras', 'pago-demasiado']",150000.0,2021.0,execelente,['emprestimo'],20001-35000,,,,,
96,['comprei'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1980, 1985)",portuguesa,12001-20000,1,1,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],,,,,,"['habitacao-mau-estado', 'falta-espaco', 'pago-demasiado']",136000.0,2017.0,medio,"['emprestimo', 'trabalho-estrangeiro', 'conjunto', 'apoio-familiar']",35001-50000,>80001,,,,
97,['outrem'],setúbal,setúbal,201-400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,2,4,"['empregado-tempo-inteiro', 'estudante-tempo-parcial']",mestrado,['satisfeito'],,,,,,['financeiramente-dependente'],,,,,,,,,,
98,['arrendo'],porto,porto,61-80,['apartamento'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],estudo-superior,['insatisfeito'],25,370.0,2022.0,12001-20000,['sem-ajuda'],"['pago-demasiado', 'dificuldades-financeiras', 'quero-independecia']",,,,,,,,,,
99,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T3'],"[1970, 1975)",portuguesa,12001-20000,1,1,['empregado-tempo-inteiro'],ensino-profissional,['muito-satisfeito'],,,,,,,80.0,1998.0,execelente,['emprestimo'],12001-20000,,,,,
100,['outrem'],faro,faro,101-200,['moradia'],['T2'],"[1980, 1985)",portuguesa,20001-35000,2,1,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['vivo-longe'],,,,,,,,,,
101,['arrendo'],porto,porto,61-80,['apartamento'],['T4+'],"[1995, 2000)",portuguesa,7001-12000,6,0,['desempregada'],licenciatura,['satisfeito'],20,180.0,2020.0,7001-12000,['sem-ajuda'],['quero-independecia'],,,,,,,,,,
102,['outrem'],aveiro,espinho,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,7001-12000,2,0,['empregado-tempo-parcial'],licenciatura,['indiferente'],,,,,,['outro'],,,,,,,,,,
103,['arrendo'],porto,matosinhos,41-60,['apartamento'],['T0'],"[1995, 2000)",portuguesa,7001-12000,1,0,['contrato-temporario'],estudo-superior,['insatisfeito'],50,335.0,2022.0,12001-20000,['apoio-familiar-inicio'],"['dificuldades-financeiras', 'falta-espaco', 'quero-independecia']",,,,,,,,,,
104,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,1,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,"['pago-demasiado', 'falta-espaco']",162000.0,2020.0,raiz,['emprestimo'],20001-35000,,,,,
105,['outrem'],aveiro,espinho,61-80,['moradia'],['T3'],"[1995, 2000)",portuguesa,12001-20000,3,1,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['habitacao-mau-estado'],,,,,,,,,,
106,['outrem'],porto,gondomar,101-200,['moradia'],['T4+'],"[1990, 1995)",portuguesa,35001-50000,3,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,"['vivo-longe-de-transportes', 'quero-independecia']",,,,,,,,,,
107,['comprei'],porto,gondomar,101-200,['apartamento'],['T2'],"[1975, 1980)",portuguesa,20001-35000,1,1,['empregado-tempo-inteiro'],doutoramento,['indiferente'],,,,,,"['pago-demasiado', 'falta-espaco']",175000.0,2024.0,bom,"['emprestimo', 'apoio-familiar']",20001-35000,,,,,
108,['comprei'],lisboa,vila franca de xira,101-200,['moradia'],['T3'],"[1975, 1980)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],secundario,['muito-satisfeito'],,,,,,,160000.0,2018.0,raiz,['emprestimo'],20001-35000,,,,,
109,['outrem'],porto,paredes,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
110,['comprei'],porto,porto,101-200,['apartamento'],['T3'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,280000.0,2021.0,bom,"['emprestimo', 'trabalho-estrangeiro', 'apoio-familiar']",20001-35000,,,,,
111,['comprei'],porto,porto,101-200,['apartamento'],['T3'],"[1985, 1990)",portuguesa,50001-80000,1,1,"['empregado-tempo-inteiro', 'independente']",mestrado,['satisfeito'],,,,,,['pago-demasiado'],370000.0,2022.0,execelente,['emprestimo'],20001-35000,,,,,
112,['comprei'],aveiro,oliveira do bairro,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['outro'],132500.0,2024.0,recem-construido,['emprestimo'],20001-35000,,,,,
113,['outrem'],porto,santo tirso,101-200,['moradia'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
114,['comprei'],porto,porto,61-80,['apartamento'],['T2'],"[1970, 1975)",portuguesa,35001-50000,0,0,['contrato-temporario'],doutoramento,['muito-satisfeito'],,,,,,,265000.0,2022.0,recem-construido,['emprestimo'],20001-35000,,,,,
115,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],50,500.0,2022.0,20001-35000,['sem-ajuda'],"['falta-espaco', 'pago-demasiado']",,,,,,,,,,
116,['comprei'],setúbal,setúbal,201-400,['moradia'],['T4+'],"[1965, 1970)",portuguesa,20001-35000,1,1,['independente'],licenciatura,['muito-satisfeito'],,,,,,,275000.0,2009.0,raiz,['emprestimo'],20001-35000,,,,,
117,['comprei'],lisboa,amadora,81-100,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,260000.0,2022.0,recem-construido,"['trabalho-estrangeiro', 'emprestimo', 'apoio-familiar', 'conjunto']",20001-35000,35001-50000,,,,
118,['comprei'],porto,porto,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,35001-50000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,148000.0,2020.0,medio,"['emprestimo', 'apoio-familiar']",12001-20000,,,,,
119,['outrem'],aveiro,oliveira de azeméis,201-400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,3,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
120,['comprei'],porto,maia,201-400,['moradia'],['T4+'],"[1990, 1995)",portuguesa,35001-50000,1,1,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,375000.0,2022.0,bom,['emprestimo'],35001-50000,,,,,
121,['comprei'],lisboa,mafra,101-200,['moradia'],['T4+'],"[1970, 1975)",portuguesa,20001-35000,2,0,['empregado-tempo-inteiro'],doutoramento,['satisfeito'],,,,,,"['vivo-longe', 'vivo-longe-de-transportes']",190000.0,2000.0,raiz,['emprestimo'],12001-20000,,,,,
122,['comprei'],porto,porto,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,194000.0,2022.0,bom,"['emprestimo', 'conjunto']",20001-35000,35001-50000,,,,
123,['arrendo'],coimbra,coimbra,<20,['apartamento'],['T0'],"[1995, 2000)",portuguesa,7001-12000,0,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],100,390.0,2022.0,7001-12000,['sem-ajuda'],"['vivo-longe', 'pago-demasiado']",,,,,,,,,,
124,['outrem'],porto,matosinhos,101-200,['apartamento'],['T2'],"[1995, 2000)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],,,,,,"['quero-independecia', 'falta-espaco', 'financeiramente-dependente']",,,,,,,,,,
125,['comprei'],porto,vila nova de gaia,201-400,['moradia'],['T4+'],"[1980, 1985)",portuguesa,50001-80000,1,2,['independente'],mestrado,['muito-satisfeito'],,,,,,,340000.0,2021.0,mau,"['trabalho-estrangeiro', 'outra']",>80001,,,,,
126,['arrendo'],porto,porto,41-60,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],doutoramento,['satisfeito'],100,400.0,2023.0,20001-35000,['sem-ajuda'],['vivo-longe'],,,,,,,,,,
127,['arrendo'],porto,porto,21-40,['apartamento'],['T1'],"[1990, 1995)",nao_portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],100,770.0,2023.0,7001-12000,['sem-ajuda'],"['vivo-longe', 'falta-espaco', 'pago-demasiado']",,,,,,,,,,
128,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['vivo-longe'],210000.0,2023.0,bom,"['conjunto', 'emprestimo', 'apoio-familiar']",20001-35000,50001-80000,,,,
129,['comprei'],porto,santo tirso,101-200,['apartamento'],['T3'],"[1990, 1995)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['falta-espaco'],245000.0,2021.0,raiz,['emprestimo'],12001-20000,,,,,
130,['outrem'],braga,vila nova de famalicão,201-400,['moradia'],['T3'],"[2000, 2005)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
131,['comprei'],braga,guimarães,101-200,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,115000.0,2021.0,raiz,"['emprestimo', 'conjunto']",20001-35000,35001-50000,,,,
132,['arrendo'],porto,porto,101-200,['apartamento'],['T2'],"[2000, 2005)",portuguesa,20001-35000,2,0,['contrato-temporario'],mestrado,['satisfeito'],40,300.0,2024.0,12001-20000,['sem-ajuda'],"['vivo-longe', 'habitacao-mau-estado', 'quero-independecia', 'vivo-zona-insegura']",,,,,,,,,,
133,['comprei'],lisboa,lisboa,41-60,['apartamento'],['T3'],"[1965, 1970)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,180000.0,1995.0,raiz,"['emprestimo', 'trabalho-estrangeiro']",35001-50000,,,,,
134,['comprei'],porto,porto,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,12001-20000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,173000.0,2022.0,bom,"['emprestimo', 'apoio-familiar']",12001-20000,,,,,
135,['outrem'],porto,paredes,81-100,['moradia'],['T3'],"[1990, 1995)",portuguesa,12001-20000,2,3,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
136,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T1'],"[1990, 1995)",portuguesa,20001-35000,1,0,['independente'],mestrado,['indiferente'],50,450.0,2022.0,20001-35000,['sem-ajuda'],"['falta-espaco', 'pago-demasiado', 'habitacao-mau-estado']",,,,,,,,,,
137,['arrendo'],porto,porto,41-60,['apartamento'],['T1'],"[1985, 1990)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],100,520.0,2022.0,20001-35000,['outra'],,,,,,,,,,,
138,['comprei'],porto,porto,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,260000.0,2022.0,raiz,['emprestimo'],20001-35000,,,,,
139,['comprei'],lisboa,amadora,61-80,['apartamento'],['T2'],"[1985, 1990)",portuguesa,50001-80000,2,1,['empregado-tempo-inteiro'],doutoramento,['muito-satisfeito'],,,,,,,63000.0,2014.0,medio,['emprestimo'],12001-20000,,,,,
140,['arrendo'],porto,vila nova de gaia,81-100,['apartamento'],['T3'],"[1990, 1995)",nao_portuguesa,20001-35000,1,1,['empregado-tempo-inteiro'],mestrado,['satisfeito'],100,1000.0,2024.0,20001-35000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
141,['arrendo'],viseu,oliveira de frades,61-80,['moradia'],['T2'],"[1990, 1995)",portuguesa,50001-80000,1,1,['empregado-tempo-inteiro'],doutoramento,['satisfeito'],100,500.0,2023.0,50001-80000,['sem-ajuda'],['falta-espaco'],,,,,,,,,,
142,['comprei'],porto,valongo,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,1,0,"['empregado-tempo-parcial', 'estudante-tempo-parcial', 'outro']",doutoramento,['satisfeito'],,,,,,['outro'],218000.0,2022.0,raiz,"['emprestimo', 'conjunto']",12001-20000,20001-35000,,,,
143,['comprei'],lisboa,lisboa,81-100,['apartamento'],['T4+'],"[1970, 1975)",portuguesa,7001-12000,1,3,['independente'],mestrado,['satisfeito'],,,,,,['habitacao-mau-estado'],257000.0,2004.0,bom,['emprestimo'],35001-50000,,,,,
144,['comprei'],aveiro,aveiro,81-100,['apartamento'],['T3'],"[1990, 1995)",portuguesa,50001-80000,1,0,['independente'],licenciatura,['satisfeito'],,,,,,['pago-demasiado'],210000.0,2023.0,medio,['emprestimo'],35001-50000,,,,,
145,['arrendo'],braga,vila nova de famalicão,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],65,445.0,2024.0,35001-50000,['sem-ajuda'],,,,,,,,,,,
146,['arrendo'],porto,porto,81-100,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,350.0,2023.0,20001-35000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
147,['outrem'],braga,barcelos,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],estudo-superior,['insatisfeito'],,,,,,"['falta-espaco', 'vivo-longe-de-transportes']",,,,,,,,,,
148,['arrendo'],porto,matosinhos,21-40,['apartamento'],['T1'],"[1995, 2000)",portuguesa,12001-20000,0,0,['estudante-tempo-parcial'],doutoramento,['satisfeito'],100,420.0,2017.0,12001-20000,['apoio-familiar-actualmente'],"['financeiramente-dependente', 'dificuldades-financeiras']",,,,,,,,,,
149,['outrem'],porto,gondomar,81-100,['apartamento'],['T3'],"[1985, 1990)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
150,['comprei'],braga,vila nova de famalicão,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,2,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,"['dificuldades-financeiras', 'pago-demasiado']",258500.0,2022.0,raiz,"['apoio-familiar', 'emprestimo']",20001-35000,,,,,
151,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,50001-80000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],50,450.0,2022.0,20001-35000,['sem-ajuda'],,,,,,,,,,,
152,['comprei'],porto,santo tirso,101-200,['moradia'],['T3'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,300000.0,2023.0,execelente,"['emprestimo', 'conjunto']",20001-35000,35001-50000,,,,
153,['outrem'],porto,valongo,81-100,['apartamento'],['T3'],"[1970, 1975)",portuguesa,7001-12000,2,2,['desempregada'],doutoramento,['muito-insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
154,['outrem'],porto,vila do conde,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],licenciatura,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
155,['outrem'],porto,póvoa de varzim,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,['financeiramente-dependente'],,,,,,,,,,
156,['outrem'],braga,braga,201-400,['moradia'],['T4+'],"[1990, 1995)",portuguesa,35001-50000,2,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
157,['comprei'],porto,maia,101-200,['apartamento'],['T2'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,186000.0,2022.0,execelente,['emprestimo'],20001-35000,,,,,
158,['herdei'],porto,porto,101-200,['moradia'],['T3'],"[1980, 1985)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],doutoramento,['insatisfeito'],,,,,,"['habitacao-mau-estado', 'outro']",,,,,,,2015.0,20001-35000,20001-35000,medio
159,['comprei'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,['pago-demasiado'],256000.0,2021.0,bom,"['emprestimo', 'conjunto']",12001-20000,35001-50000,,,,
160,['comprei'],leiria,alcobaça,101-200,['apartamento'],['T3'],"[1990, 1995)",portuguesa,12001-20000,0,0,['independente'],mestrado,['muito-satisfeito'],,,,,,,165000.0,2023.0,bom,"['emprestimo', 'conjunto']",12001-20000,20001-35000,,,,
161,['outrem'],aveiro,mealhada,201-400,['moradia'],['T3'],"[2000, 2005)",portuguesa,<7001,2,2,['estudante-tempo-integral'],licenciatura,['insatisfeito'],,,,,,"['financeiramente-dependente', 'vivo-longe-de-transportes', 'quero-independecia', 'outro']",,,,,,,,,,
162,['arrendo'],braga,vila nova de famalicão,61-80,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,190.0,2020.0,7001-12000,['apoio-social'],['habitacao-mau-estado'],,,,,,,,,,
163,['arrendo'],braga,braga,41-60,['apartamento'],['T1'],"[1985, 1990)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],100,450.0,2017.0,12001-20000,['sem-ajuda'],"['vivo-longe', 'falta-espaco', 'pago-demasiado']",,,,,,,,,,
164,['outrem'],lisboa,vila franca de xira,21-40,['apartamento'],['T1'],"[1985, 1990)",portuguesa,12001-20000,2,1,['empregado-tempo-inteiro'],estudo-superior,['muito-insatisfeito'],,,,,,['outro'],,,,,,,,,,
165,['outrem'],porto,santo tirso,41-60,['moradia'],['T3'],"[1990, 1995)",portuguesa,12001-20000,3,1,['empregado-tempo-inteiro'],estudo-superior,['indiferente'],,,,,,['quero-independecia'],,,,,,,,,,
166,['comprei'],lisboa,cascais,101-200,['apartamento'],['T3'],"[1970, 1975)",portuguesa,12001-20000,1,2,['empregado-tempo-inteiro'],estudo-superior,['muito-insatisfeito'],,,,,,['outro'],140000.0,2010.0,medio,['emprestimo'],35001-50000,,,,,
167,['comprei'],porto,santo tirso,101-200,['apartamento'],['T3'],"[1980, 1985)",portuguesa,50001-80000,1,2,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,180000.0,2015.0,medio,['emprestimo'],35001-50000,,,,,
168,['comprei'],porto,gondomar,201-400,['moradia'],['T4+'],"[1965, 1970)",portuguesa,12001-20000,2,1,['desempregada'],mestrado,['muito-satisfeito'],,,,,,,200000.0,2001.0,raiz,['emprestimo'],12001-20000,,,,,
169,['outrem'],lisboa,vila franca de xira,21-40,['apartamento'],['T1'],"[1975, 1980)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],estudo-superior,['insatisfeito'],,,,,,['outro'],,,,,,,,,,
170,['outrem'],leiria,alcobaça,61-80,['apartamento'],['T1'],"[1990, 1995)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,['financeiramente-dependente'],,,,,,,,,,
171,['comprei'],setúbal,almada,61-80,['apartamento'],['T3'],"[1945, 1950)",portuguesa,20001-35000,0,1,['aposentado'],mestrado,['muito-satisfeito'],,,,,,,125000.0,2019.0,execelente,['emprestimo'],35001-50000,,,,,
172,['herdei'],leiria,porto de mós,41-60,['moradia'],['T3'],"[1995, 2000)",portuguesa,<7001,0,2,['licenca'],licenciatura,['indiferente'],,,,,,"['vivo-longe', 'dificuldades-financeiras']",,,,,,,2024.0,<7001,<7001,mau
173,['arrendo'],leiria,caldas da rainha,21-40,['moradia'],['T1'],"[1995, 2000)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],50,250.0,2023.0,12001-20000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
174,['herdei'],setúbal,almada,201-400,['moradia'],['T4+'],"[1965, 1970)",portuguesa,12001-20000,3,1,"['empregado-tempo-inteiro', 'independente']",licenciatura,['muito-satisfeito'],,,,,,,,,,,,,2007.0,12001-20000,35001-50000,bom
175,['arrendo'],braga,esposende,21-40,['moradia'],['T3'],"[1990, 1995)",portuguesa,7001-12000,1,3,['empregado-tempo-inteiro'],ensino-profissional,['indiferente'],100,400.0,2023.0,7001-12000,['apoio-familiar-inicio'],"['pago-demasiado', 'habitacao-mau-estado']",,,,,,,,,,
176,['comprei'],porto,porto,101-200,['moradia'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,1,"['empregado-tempo-inteiro', 'independente']",doutoramento,['satisfeito'],,,,,,['outro'],250000.0,2022.0,medio,['emprestimo'],7001-12000,,,,,
177,['outrem'],lisboa,oeiras,41-60,['apartamento'],['T3'],"[1990, 1995)",portuguesa,12001-20000,1,0,['contrato-temporario'],mestrado,['muito-insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
178,['comprei'],lisboa,loures,101-200,['moradia'],['T3'],"[1975, 1980)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],secundario,['muito-satisfeito'],,,,,,,345000.0,2021.0,execelente,['emprestimo'],20001-35000,,,,,
179,['outrem'],leiria,alcobaça,81-100,['apartamento'],['T2'],"[1990, 1995)",portuguesa,12001-20000,1,2,['licenca'],licenciatura,['satisfeito'],,,,,,['falta-espaco'],,,,,,,,,,
180,['outrem'],leiria,caldas da rainha,81-100,['moradia'],['T3'],"[1990, 1995)",portuguesa,12001-20000,1,2,['empregado-tempo-inteiro'],ensino-profissional,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
181,['arrendo'],porto,porto,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,0,0,['independente'],licenciatura,['insatisfeito'],100,600.0,2018.0,7001-12000,['sem-ajuda'],['falta-espaco'],,,,,,,,,,
182,['comprei'],lisboa,vila franca de xira,101-200,['apartamento'],['T3'],"[1970, 1975)",portuguesa,12001-20000,0,3,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,"['vivo-longe', 'financeiramente-dependente', 'dificuldades-financeiras']",165000.0,2008.0,bom,"['emprestimo', 'outra']",12001-20000,,,,,
183,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T1'],"[1980, 1985)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],doutoramento,['indiferente'],100,518.0,2019.0,7001-12000,['apoio-social'],['habitacao-mau-estado'],,,,,,,,,,
184,['comprei'],porto,vila nova de gaia,61-80,['apartamento'],['T2'],"[1980, 1985)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],licenciatura,['muito-insatisfeito'],,,,,,"['habitacao-mau-estado', 'falta-espaco']",100000.0,2007.0,medio,['arrendar-parte-habitacao'],12001-20000,,,,,
185,['comprei'],lisboa,lisboa,81-100,['apartamento'],['T2'],"[1985, 1990)",portuguesa,20001-35000,1,1,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,320000.0,2017.0,recem-construido,['emprestimo'],20001-35000,,,,,
186,['outrem'],lisboa,loures,41-60,['apartamento'],['T2'],"[1990, 1995)",portuguesa,12001-20000,0,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,['outro'],,,,,,,,,,
187,['comprei'],porto,porto,201-400,['moradia'],['T3'],"[1975, 1980)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],doutoramento,['insatisfeito'],,,,,,"['dificuldades-financeiras', 'financeiramente-dependente']",150000.0,2017.0,mau,"['emprestimo', 'apoio-familiar']",35001-50000,,,,,
188,['outrem'],setúbal,moita,81-100,['apartamento'],['T3'],"[1990, 1995)",portuguesa,12001-20000,1,3,['empregado-tempo-inteiro'],basico,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
189,['arrendo'],porto,porto,101-200,['moradia'],['T4+'],"[1990, 1995)",portuguesa,20001-35000,2,0,['desempregada'],mestrado,['indiferente'],30,270.0,2022.0,20001-35000,['outra'],['outro'],,,,,,,,,,
190,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T2'],"[1990, 1995)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],50,300.0,2023.0,12001-20000,['sem-ajuda'],"['quero-independecia', 'falta-espaco', 'pago-demasiado']",,,,,,,,,,
191,['arrendo'],lisboa,lisboa,81-100,['apartamento'],['T4+'],"[1995, 2000)",portuguesa,35001-50000,1,2,['empregado-tempo-inteiro'],mestrado,['satisfeito'],25,337.0,2021.0,<7001,['apoio-familiar-inicio'],['quero-independecia'],,,,,,,,,,
192,['outrem'],viana do castelo,viana do castelo,201-400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,<7001,1,0,['desempregada'],mestrado,['insatisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
193,['outrem'],coimbra,cantanhede,201-400,['moradia'],['T4+'],"[1985, 1990)",portuguesa,sem-rendimento,2,2,['estudante-tempo-integral'],mestrado,['insatisfeito'],,,,,,"['financeiramente-dependente', 'vivo-longe-de-transportes', 'quero-independecia']",,,,,,,,,,
